"","DID","RCT","RDD","IV","F<30","F>=30","Top 5","!Top 5","2015","2018","AJQ","Star Wars","All","Overall RR"
"LocBin","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Discont.","0.066","0.045","0.028","0.005","0.002","0.1","0.026","0.016","0.013","0.009","0.023","0.021","0.015","0.0283846153846154"
"CS1","0.01","0.053","0.043","0.0860000000000001","0.007","0.222","0.007","0.031","0.008","0.201","0.005","0.001","0.046","0.0553846153846154"
"CSUB","0.071","0.0800000000000001","0.0810000000000001","0.267","0.271","0.217","0.025","0.103","0.011","0.351","0.03","0.002","0.137","0.126615384615385"
"CS2B","0.054","0.056","0.0970000000000001","0.221","0.248","0.187","0.021","0.111","0.012","0.415","0.032","0","0.133","0.122076923076923"
"LCM","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Obs","5853","7569","3148","5170","679","760","3954","17786","11211","10529","3341","17772","21740"," "
